# inner_x,inner_y,inner_vel,center_x,center_y,center_vel,outer_x,outer_y,outer_vel,race_x,race_y,race_vel
-17.215239,-4.061603,5.999910713719931,-17.23985,-4.637799,5.999896756069955,-17.268637,-5.215119,5.999885007547765,-17.035117,-5.424971,6.0
-17.543545,-4.149964,5.999885480640779,-17.571375,-4.727026,5.999871767093256,-17.603462,-5.305233,5.999857911625114,-17.228137,-5.477191,6.0
-17.871852,-4.238324,5.99986024756163,-17.902901,-4.816252,5.999844805302608,-17.938287,-5.395346,5.999830815702461,-17.614176,-5.581633,6.0
-18.200158,-4.326683,5.999833720478419,-18.234427,-4.905476,5.999817843511959,-18.273112,-5.485458,5.999803719779807,-18.000215,-5.686076,6.0
-18.528465,-4.415041,5.99980784039724,-18.565953,-4.994699,5.99979088172131,-18.607938,-5.575568,5.999775962980994,-18.193235,-5.738298,6.0
-18.856773,-4.503396,5.999781313314031,-18.89748,-5.08392,5.99976260472136,-18.942765,-5.665676,5.999746884429854,-18.579275,-5.84274,6.0
-19.185081,-4.59175,5.999753492226764,-19.229007,-5.17314,5.999736300535362,-19.277592,-5.755782,5.9997224320118505,-18.965315,-5.947179,6.0
-19.513389,-4.680103,5.999730200153703,-19.560535,-5.262357,5.999710653954014,-19.612419,-5.845886,5.99969335346071,-19.158336,-5.999397,6.0
-19.841698,-4.768453,5.999702379066434,-19.892063,-5.351572,5.9996817193494145,-19.947247,-5.935988,5.999666918414219,-19.544378,-6.103828,6.0
-20.170008,-4.856801,5.999675851983225,-20.223592,-5.440785,5.999657387977367,-20.282076,-6.026087,5.999641144243892,-19.930423,-6.20825,6.0
-20.498318,-4.945147,5.999652559910164,-20.555122,-5.529996,5.999629768582068,-20.616906,-6.116184,5.999611404816591,-20.123447,-6.260458,6.0
-20.826629,-5.03349,5.9996234448188375,-20.886652,-5.619204,5.999601491582118,-20.951736,-6.206278,5.999583648017776,-20.509496,-6.364864,6.0
-21.15494,-5.121831,5.999596917735628,-21.218183,-5.708409,5.99957452979147,-21.286567,-6.296369,5.999557873847448,-20.895548,-6.469258,6.0
-21.483252,-5.210169,5.999571684656478,-21.549715,-5.797611,5.9995495408147725,-21.621399,-6.386457,5.9995314388009575,-21.281605,-6.573635,6.0
-21.811565,-5.298504,5.999547098579358,-21.881248,-5.88681,5.999521921419472,-21.956232,-6.476542,5.999502360249817,-21.474635,-6.625818,6.0
-22.139879,-5.386836,5.999518630490059,-22.212781,-5.976006,5.999494959628825,-22.291065,-6.566623,5.999477246955651,-21.860699,-6.73017,6.0
-22.468194,-5.475164,5.9994940444129385,-22.544316,-6.065199,5.999469313047475,-22.6259,-6.656701,5.999450811909161,-22.246768,-6.834504,6.0
-22.79651,-5.563489,5.999468164331759,-22.875851,-6.154388,5.9994456392800775,-22.960735,-6.746775,5.999434950881266,-22.439804,-6.886664,6.0
-23.124826,-5.651811,5.999449401272904,-23.207388,-6.243573,5.999431171977777,-23.295572,-6.836845,5.999417768101047,-22.82588,-6.990971,6.0
-23.453144,-5.740129,5.999433873224197,-23.538925,-6.332754,5.999414074256878,-23.63041,-6.926911,5.999407194082453,-23.211961,-7.095261,6.0
-23.781462,-5.828444,5.999419639179547,-23.870464,-6.421932,5.999407498210379,-23.965249,-7.016974,5.999403228825479,-23.405003,-7.147401,6.0
-24.109782,-5.916754,5.999414463163311,-24.202003,-6.511105,5.999402894977829,-24.300088,-7.107031,5.999399924444667,-23.791089,-7.251669,6.0
-24.438103,-6.00506,5.999410581151135,-24.533544,-6.600275,5.999401579768529,-24.634929,-7.197085,5.999400585320829,-24.177179,-7.355926,6.0
-24.766425,-6.093363,5.9994099341491065,-24.865086,-6.68944,5.999402894977829,-24.969772,-7.287135,5.999407854958616,-24.370225,-7.40805,6.0
-25.094747,-6.181662,5.999413169159254,-25.196629,-6.778602,5.999412101442928,-25.304615,-7.377181,5.999421072481858,-24.756317,-7.512297,6.0
-25.423071,-6.269956,5.999424815195784,-25.528172,-6.867759,5.999425253535928,-25.639459,-7.467223,5.999432307376619,-25.142409,-7.616543,6.0
