hidden_dim,epochs,control_outputs,curriculum,eps_per_input,wheelbase,training_loss,test_loss,ade,fde
16.0,200.0,60.0,TRUE,1.0,0.8402000000000000,0.0015473205130547300,0.0018078028224408600,0.05245613306760790,0.11103443056345000
16.0,200.0,60.0,TRUE,1.0,0.8802000000000000,0.0015464528696611500,0.0018124498892575500,0.05346599966287610,0.11241864413023000
16.0,200.0,60.0,TRUE,1.0,0.8702000000000000,0.0015472155064344400,0.00181049935054034,0.05337582528591160,0.11192761361599000
16.0,200.0,60.0,TRUE,1.0,0.8602000000000000,0.0015457915142178500,0.0017815942410379600,0.052716534584760700,0.1104322150349620
16.0,200.0,60.0,TRUE,1.0,0.8902000000000000,0.0015397651586681600,0.0017866258276626500,0.05259529501199720,0.1104094386100770
16.0,200.0,60.0,TRUE,1.0,0.9102000000000000,0.0015414763474836900,0.0017921559046953900,0.05307343974709510,0.11008977144956600
16.0,200.0,60.0,TRUE,1.0,0.9202000000000000,0.00155187351629138,0.0017858733190223600,0.053555332124233200,0.11090245097875600
16.0,200.0,60.0,TRUE,1.0,0.9002000000000000,0.0015480151632800700,0.0017864664550870700,0.05344415456056600,0.11193127930164300
16.0,200.0,60.0,TRUE,1.0,0.9302000000000000,0.0015338032972067600,0.0017671521054580800,0.05303715169429780,0.10890582203865100
16.0,200.0,60.0,TRUE,1.0,0.9402000000000000,0.0015338611556217100,0.0017708030063659000,0.05329537391662600,0.10881470143795000
16.0,200.0,60.0,TRUE,1.0,0.9502000000000000,0.0015412369975820200,0.0017702578334137800,0.05466245487332340,0.11156279593706100
16.0,200.0,60.0,TRUE,1.0,0.9702000000000000,0.0015404748264700200,0.0017716059228405400,0.05502380430698400,0.11256019026041000
16.0,200.0,60.0,TRUE,1.0,0.9602000000000000,0.0015423514414578700,0.0017670118249952800,0.05477841943502430,0.1119563952088360
16.0,200.0,60.0,TRUE,1.0,1.0002000000000000,0.0015487010823562700,0.0017694133566692500,0.056150101125240300,0.11288793385028800
16.0,200.0,60.0,TRUE,1.0,0.9802000000000000,0.001540306955575940,0.001778957317583260,0.05592671409249310,0.11387511342763900
16.0,200.0,60.0,TRUE,1.0,1.0102000000000000,0.001541663776151840,0.0017685603816062200,0.056214507669210400,0.11310908943414700
16.0,200.0,60.0,TRUE,1.0,0.9902000000000000,0.0015418593538925100,0.0017798616318032100,0.056151002645492600,0.11583732813596700
16.0,200.0,60.0,TRUE,1.0,1.0202000000000000,0.001545770326629280,0.001782084465958180,0.0564226359128952,0.11346761137247100
16.0,200.0,60.0,TRUE,1.0,1.0302000000000000,0.0015421952120959800,0.001771169132553040,0.05615027993917470,0.11226694285869600
16.0,200.0,60.0,TRUE,1.0,1.0402000000000000,0.0015450409846380400,0.0017829141579568400,0.05614572763442990,0.1129760593175890
16.0,200.0,60.0,TRUE,1.0,1.0502000000000000,0.0015458493726328000,0.0017872302560135700,0.0565371997654438,0.11485524475574500
16.0,200.0,60.0,TRUE,1.0,1.0602000000000000,0.0015429905615747000,0.0017872158205136700,0.055761124938726400,0.11147413402795800
16.0,200.0,60.0,TRUE,1.0,1.0702000000000000,0.0015451450599357500,0.0017834518803283600,0.056299734860658600,0.11198515444994000
16.0,200.0,60.0,TRUE,1.0,1.0802000000000000,0.001544342958368360,0.0017757846508175100,0.056574366986751600,0.11195927858352700
16.0,200.0,60.0,TRUE,1.0,1.0902000000000000,0.001545482431538400,0.001800726866349580,0.05736150965094570,0.1133541464805600
16.0,200.0,60.0,TRUE,1.0,1.1102000000000000,0.0015437423717230600,0.001783230691216890,0.05665166303515430,0.11237318813800800
16.0,200.0,60.0,TRUE,1.0,1.1002000000000000,0.0015435965033248100,0.0017865474801510600,0.056524891406297700,0.1118716225028040
16.0,200.0,60.0,TRUE,1.0,1.1202000000000000,0.0015457081608474300,0.0017755841836333300,0.05710092559456830,0.11172469705343200
16.0,200.0,60.0,TRUE,1.0,1.1302000000000000,0.0015443250304088000,0.0017868179129436600,0.05714946612715720,0.11197200417518600
16.0,200.0,60.0,TRUE,1.0,1.1402000000000000,0.0015436658868566200,0.0017881508683785800,0.05776822566986080,0.11297965794801700
16.0,200.0,60.0,TRUE,1.0,1.1502000000000000,0.0015451060608029400,0.00179313647095114,0.057826753705740000,0.11460449546575500
16.0,200.0,60.0,TRUE,1.0,1.1602000000000000,0.0015450090868398500,0.0017960314871743300,0.05803901329636570,0.11481237411499000
16.0,200.0,60.0,TRUE,1.0,1.1702000000000000,0.0015485387993976500,0.0018017981201410300,0.05892956256866460,0.11752784252166700
16.0,200.0,60.0,TRUE,1.0,1.1902000000000000,0.0015473742969334100,0.0018036914989352200,0.05879148840904240,0.11567520350217800
16.0,200.0,60.0,TRUE,1.0,1.1802000000000000,0.0015530084492638700,0.0017996826209127900,0.05852506309747700,0.11421655118465400
16.0,200.0,60.0,TRUE,1.0,1.2002000000000000,0.0015498122666031100,0.0018077200511470400,0.05957837775349620,0.11827339231967900
16.0,200.0,60.0,TRUE,1.0,1.2102000000000000,0.0015456883702427100,0.001791132614016530,0.05915319547057150,0.11665841937065100
16.0,200.0,60.0,TRUE,1.0,1.2202000000000000,0.0015498213469982100,0.0018133213743567500,0.05966738611459730,0.1172061562538150
16.0,200.0,60.0,TRUE,1.0,1.2502000000000000,0.001544786966405810,0.0017974693328142200,0.05993795022368430,0.11631369590759300
16.0,200.0,60.0,TRUE,1.0,1.2302000000000000,0.0015490459045395300,0.0017940158722922200,0.060046128928661300,0.11788131296634700
16.0,200.0,60.0,TRUE,1.0,1.2402000000000000,0.0015521994791925000,0.0018209927948191800,0.06003517284989360,0.1173873171210290
16.0,200.0,60.0,TRUE,1.0,1.2602000000000000,0.001551233697682620,0.001799110323190690,0.061011601239442800,0.11980925500392900
16.0,200.0,60.0,TRUE,1.0,1.2702000000000000,0.001540867961011830,0.0018101768800988800,0.061261728405952500,0.12004280835390100
16.0,200.0,60.0,TRUE,1.0,1.2802000000000000,0.001541988574899730,0.001809173496440050,0.061396922916173900,0.12004008889198300
16.0,200.0,60.0,TRUE,1.0,1.2902000000000000,0.001551052089780570,0.001799407647922640,0.06283286213874820,0.12023666501045200
16.0,200.0,60.0,TRUE,1.0,1.3002000000000000,0.0015523756155744200,0.0018013782100752000,0.06095258519053460,0.11806834489107100
16.0,200.0,60.0,TRUE,1.0,1.3102000000000000,0.0015435436507687000,0.0018027727492153600,0.062143418937921500,0.12124191969633100
16.0,200.0,60.0,TRUE,1.0,1.3202000000000000,0.001542647834867240,0.0018071267986670100,0.06273002922534940,0.1225191056728360
16.0,200.0,60.0,TRUE,1.0,1.3302000000000000,0.0015438717091456100,0.001807364635169510,0.06184329837560650,0.11924737691879300
